iter	RMSE
0	239.3571432
1	233.029231
2	226.8992189
3	221.4889367
4	216.2632107
5	211.3763788
6	206.7399111
7	202.4051807
8	197.7798412
9	193.322683
10	188.8337245
11	184.6527419
12	180.9046991
13	177.2959034
14	174.0361016
15	170.7083086
16	167.5174001
17	164.3390921
18	161.4894454
19	158.429488
20	155.6507613
21	152.6936218
22	149.8536206
23	147.1931748
24	144.6157608
25	142.4540975
26	139.9183371
27	137.4964802
28	135.7136769
29	133.7569561
30	131.7154806
31	129.8531388
32	127.8640845
33	125.7790133
34	124.0422329
35	122.2261181
36	120.265238
37	118.8241381
38	117.3063432
39	115.7934694
40	114.0975188
41	112.6868329
42	111.5304803
43	110.2572071
44	108.8813335
45	107.4284559
46	106.0728884
47	105.0081863
48	103.9075793
49	102.7475664
50	101.327392
51	100.2192042
52	99.10690003
53	98.01206346
54	96.84488831
55	95.75937403
56	94.77017943
57	93.84329164
58	92.80260972
59	91.70807577
60	90.89032772
61	89.83877768
62	89.02539811
63	88.21702641
64	87.4089677
65	86.51490234
66	85.79305025
67	84.97726613
68	84.32246207
69	83.42989311
70	82.64861345
71	81.81085328
72	81.18691532
73	80.51984971
74	79.75025232
75	78.96319484
76	78.14325458
77	77.51875221
78	76.85626363
79	76.15390918
80	75.61948645
81	74.93237548
82	74.42181457
83	73.7077785
84	73.15502425
85	72.49445399
86	71.99052774
87	71.43931297
88	70.84428981
89	70.27443438
90	69.65753041
91	69.20404278
92	68.75969389
93	68.27769592
94	67.70458594
95	67.1834038
96	66.60684443
97	66.14970479
98	65.75050319
99	65.25577473
100	64.86727855
101	64.43302714
102	63.99624857
103	63.68673126
104	63.21062985
105	62.83827189
106	62.38134653
107	62.00854002
108	61.58457156
109	61.1807174
110	60.79638861
111	60.3557686
112	59.931937
113	59.54893793
114	59.22511316
115	58.88819217
116	58.61844684
117	58.21467445
118	57.85764925
119	57.50809665
120	57.13317523
121	56.83476499
122	56.52859087
123	56.1985876
124	55.81434042
125	55.58644918
126	55.21036725
127	54.86815741
128	54.52454387
129	54.27038077
130	53.96133468
131	53.71453929
132	53.38523441
133	53.09254001
134	52.78136919
135	52.45845514
136	52.13517185
137	51.83128015
138	51.41216947
139	51.14070273
140	50.89753648
141	50.64883739
142	50.3698224
143	50.04045243
144	49.78109298
145	49.59114246
146	49.34940232
147	49.03951464
148	48.77737723
149	48.60198298
150	48.33779722
151	48.08066226
152	47.85478004
153	47.66601319
154	47.42820429
155	47.17994282
156	46.95010405
157	46.7503193
158	46.51125213
159	46.30123229
160	46.13481368
161	45.84585699
162	45.5723977
163	45.35947195
164	45.20588866
165	44.97291271
166	44.72822717
167	44.52097074
168	44.3152928
169	44.08487142
170	43.90237805
171	43.71096351
172	43.47766512
173	43.22633129
174	43.00268407
175	42.82072011
176	42.64829842
177	42.45614706
178	42.31385136
179	42.11544801
180	41.9201544
181	41.72475709
182	41.56931754
183	41.37383399
184	41.20779648
185	41.04906881
186	40.89301848
187	40.70809588
188	40.56501764
189	40.39612729
190	40.17696567
191	39.98625372
192	39.79493273
193	39.58972287
194	39.43561391
195	39.29016171
196	39.11263667
197	38.93480828
198	38.74336062
199	38.63008676
200	38.47011802
201	38.3053952
202	38.13401209
203	37.94622176
204	37.77962077
205	37.69226759
206	37.51445036
207	37.34912695
208	37.17738489
209	37.09049316
210	36.94294634
211	36.83082803
212	36.72102334
213	36.56426612
214	36.44289332
215	36.27771688
216	36.16817326
217	36.00187244
218	35.83610709
219	35.69576459
220	35.55396412
221	35.42983236
222	35.28340615
223	35.14737129
224	34.97640813
225	34.80940974
226	34.65128719
227	34.54743276
228	34.36164459
229	34.22701977
230	34.11469039
231	33.97810138
232	33.83907143
233	33.71668251
234	33.5689468
235	33.39020452
236	33.26892122
237	33.13320064
238	33.02500551
239	32.90505832
240	32.76217918
241	32.62352508
242	32.49215597
243	32.41392176
244	32.2894281
245	32.18907835
246	32.07177319
247	31.91633507
248	31.80241653
249	31.68252031
250	31.57131784
251	31.4798491
252	31.36807997
253	31.27500728
254	31.21010646
255	31.1095225
256	30.9960022
257	30.89678665
258	30.78049104
259	30.65870736
260	30.56336612
261	30.46805716
262	30.36506716
263	30.24155781
264	30.15214946
265	30.06110914
266	29.96315101
267	29.84617376
268	29.78470482
269	29.71134982
270	29.6371467
271	29.56089482
272	29.46381459
273	29.4051677
274	29.30113628
275	29.18159034
276	29.07527837
277	28.98534028
278	28.88911041
279	28.81612739
280	28.74808669
281	28.67306926
282	28.56994145
283	28.49510586
284	28.41230677
285	28.31282494
286	28.23802747
287	28.1553212
288	28.06044615
289	27.97437349
290	27.89950878
291	27.80230043
292	27.7265358
293	27.64423366
294	27.57693065
295	27.48501342
296	27.41317941
297	27.33200299
298	27.27108745
299	27.18300044
300	27.11095701
301	27.05341436
302	26.93592689
303	26.86697754
304	26.7932468
305	26.70052796
306	26.61511739
307	26.5459728
308	26.45848477
309	26.40055581
310	26.30949376
311	26.24322634
312	26.1967376
